CL_ID,SRC_STM_ID,CL_SCM_ID,EFF_DT,END_DT,CL_CODE,CL_NM,CL_SCM_CODE
B0034FADC9065CB3C3D223D7FE22BFBC,899DAD7FAEE145CB2CB2DA9AA8E06694,BBA8ADBD931D654607F14673EA0D9C62,00:00.0,00:00.0,15,EQT_LTI_JNT_CRP,DBT_IMT_TP
011581623511155FF4E8D9BB360E4E8A,7DBDFA1ACD9A71AF3FAB1EC014804A8B,A502F3E8B2DAC4F8C1C7C2FCD78B7304,00:00.0,00:00.0,Q,Q,FRQ_OF_RECEIVING_INT
37C9C9B385DE58DE17304D7739B251F8,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,221,/BANK/EQUITY,TDG_BOOK
407F8A0B825DADD7C5F593DDAFA413C8,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,269,/BANK/GOLD/GOLD TRADING/GOLDTRFWD/GOLDTRFWD-G1/GOLDTRFWD-G1-DLR2,TDG_BOOK
E92F25684FD71CEBEA47F5A41B9253CC,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,211,/BANK/FIXED INCOME/FIS PROP TRADING/FIS PROP AFV/FISPROPAFVTRD2,TDG_BOOK
68C4F43EBD753D78FC6E23EB88DCAA51,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,342,/BANK/MM/MM INTERBANK/MM BILLS/MM BILLS TRADING/MM BILLS TRADING HTM/MMBLTRDDEPL2,TDG_BOOK
4F8BECA307AA195EA13A827F4131EB19,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,249,/BANK/GOLD/GOLD TRADING/GOLDTRSP/GOLDTRSP-G1/GOLDTRSP-G1-DEPL,TDG_BOOK
D848985EA9863831C31001C0E36EF8AB,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,109,/BANK/MM/MM INTERBANK/MM PLACE-BORROW/MM TRADING/MMTRAD-DEPL2/MMTRAD-TL4/MMTRAD-DLR12,TDG_BOOK
EC3AAF0A2F032C71C03899F17A77739D,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,212,/BANK/FIXED INCOME/FIS PROP TRADING/FIS PROP AFS,TDG_BOOK
A4906AE813A9176E544D9E2B8177D8FF,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,65,/BANK/FX/FX TRADING/FXFWD/OTHFCY-FWD/OTHFCY-FWDDEPL,TDG_BOOK
F2FD0860FCA5BA013E04AF36D029DDFE,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1050,Dai su quan Viet Nam tai ZIMBABWE,CGY
E87CEF754A4338AFD05FE01647A3E2D9,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1680,Uy Ban Nhan Dan Quan 1,CGY
378E2C0A79D18C90947A7F6FBADC88EB,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,225,Cong An Tinh Ninh Binh,CGY
B42267D92800A3FBF562C7C640E12CBF,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,385,Dai su quan Singapore tai Viet Nam,CGY
8158C3B5664062AB8BAE0BFD0592396E,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,635,Dai su quan Viet Nam tai GUYANA,CGY
31D6E99300508B31A2EEB0148A996A56,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,660,Dai su quan Viet Nam tai ICELAND,CGY
BD1582D02A7684378A9FCF222F83343D,0A89EF188E77C639020C9C89706F5349,C003DD8B556508A00EF35088E81AAE1A,00:00.0,00:00.0,80055,CƠ QUAN CHÍNH PHỦ VÀ CƠ QUAN TRỰC THUỘC CHÍNH PHỦ,CST_ORG_TP_DTL_DSC
5C46F612F2355AE54B1F815453940AF2,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1105,Tong Cuc The Duc The Thao,CGY
235DB2162CAD4F22308E41082E65A33B,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1370,So Ke hoach Dau tu tinh Gia Lai,CGY
6DE1A567CF85A85335A931C3CD0F0FC7,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1390,So Ke hoach Dau tu tinh Hoa Binh,CGY
C52CE22DB57C478DFC30DA6A97C0BF09,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,60,Cong An Tinh Bac Ninh,CGY
7ED5671BA2CA1B9C5EE5D2E541A8446B,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,130,Cong An Tinh Gia Lai,CGY
8A5DE5E18E42C45FDB1087A09FAF3E69,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1940,Uy Ban Nhan Dan Tinh Quang Nam,CGY
84FE27CE4510A98FE7351CF3D7EDD2FE,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2005,Uy Ban Nhan Dan Tinh Tuyen Quang,CGY
010C0469784139B54C947D6922363E42,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,665,Dai su quan Viet Nam tai INDIA,CGY
87213FE67E4197FE1C9D3216DE533F9D,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,675,Dai su quan Viet Nam tai IRAN,CGY
C23A6C151DA94AC902733C75AF9052B7,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,740,Dai su quan Viet Nam tai LATVIA,CGY
9FEC6356391F8B8F8B79BD6AA929B79A,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1025,Dai su quan Viet Nam tai UZBEKISTAN,CGY
08081630553E8506E0C46CD8F7B63355,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1070,Cuc truong cuc CS dk QLCT va Du lieu QG ve dancu,CGY
A7CCB7ED39F3A348D27459DCBBB07BAA,31F64F7633E258A3B804B4CFB64EC598,EC454D0223752849B2DC63422CA731CE,00:00.0,00:00.0,3210,Nuôi trồng thuỷ sản biển  tôm,IDY_SCTR
3CE5B9158777333ADB8D063D8B417146,31F64F7633E258A3B804B4CFB64EC598,EC454D0223752849B2DC63422CA731CE,00:00.0,00:00.0,7100,Khai thác quặng sắt,IDY_SCTR
D3ED9665E0049A36914B5150FFD1FE33,31F64F7633E258A3B804B4CFB64EC598,EC454D0223752849B2DC63422CA731CE,00:00.0,00:00.0,69102,Hoạt động công chứng và chứng thực,IDY_SCTR
F5F020C2C095F54EC19E025EBECA7405,31F64F7633E258A3B804B4CFB64EC598,EC454D0223752849B2DC63422CA731CE,00:00.0,00:00.0,62020,Tư vấn máy vi tính & quản trị hệ thống máy vi tính,IDY_SCTR
E01B96D7B7DE9683730C22A3E4BDE18D,31F64F7633E258A3B804B4CFB64EC598,EC454D0223752849B2DC63422CA731CE,00:00.0,00:00.0,63120,Cổng thông tin,IDY_SCTR
DF775A367A66B1D186CF2D783B0116FF,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB3062,Nợ cơ cấu lại thời hạn trả nợ đủ điều kiện phân loại nợ nhóm 3,CUPMAN_RSN_TP
C90323E99595DA5ACEE1F5711F81240D,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,GHCOV,GIA HAN KY HAN NO CUA COV19,CUPMAN_RSN_TP
515BEFBA31CDEC943A81F55CF5C2D676,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB301,Nợ quá hạn từ 91 ngày đến 180 ngày,CUPMAN_RSN_TP
9E1CC04AFB6AACF68F2D6C03EC55F7A5,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB501,Nợ quá hạn trên 360 ngày,CUPMAN_RSN_TP
07D0BF4489C53AD3BB70954EE235D501,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB202,Nợ điều chỉnh kỳ hạn trả nợ lần đầu,CUPMAN_RSN_TP
6F2124BE4E2128F2A204420A3BB1E9B5,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB505,"Khoản nợ vi phạm Điều 126, 127, 128  Luật các tổ chức tín dụng - quá hạn trên 60 ngày kể từ ngày có quyết định thu hồi",CUPMAN_RSN_TP
DA49E79B1F28614F6F8C49C79A5AAE9F,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB101,Nợ trong hạn và được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi đúng hạn,CUPMAN_RSN_TP
A3846E4149003BFD5CEC26A36E3C943A,E461F32B09F224F42B0C0817727CDAD1,09B9A2C0D88F57553E9B9CB3015712B9,00:00.0,00:00.0,NB305,Nợ trong thời hạn thu hồi theo kết luận thanh tra,CUPMAN_RSN_TP
